jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
879962	cresco6x184	Tue 21 Nov 22:29:54 CET 2023	1700602194	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33691		0.00004
879962	cresco6x186	Tue 21 Nov 22:29:53 CET 2023	1700602193	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15282		0.00008
879962	cresco6x114	Tue 21 Nov 22:29:53 CET 2023	1700602193	300.00	240.00	23.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42964		0.00017
879962	cresco6x184	Tue 21 Nov 22:29:53 CET 2023	1700602193	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33687		0.00000
879962	cresco6x184	Tue 21 Nov 22:29:52 CET 2023	1700602192	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33687		0.00007
879962	cresco6x186	Tue 21 Nov 22:29:52 CET 2023	1700602192	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15274		0.00007
879962	cresco6x114	Tue 21 Nov 22:29:52 CET 2023	1700602192	310.00	250.00	25.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42947		0.00000
879962	cresco6x114	Tue 21 Nov 22:29:51 CET 2023	1700602191	310.00	250.00	25.00	74.00	97.00	41.00	0.00	19.00	70.00	67.00	43.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.42947		0.00009
879962	cresco6x184	Tue 21 Nov 22:29:51 CET 2023	1700602191	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33680		0.00004
879962	cresco6x186	Tue 21 Nov 22:29:51 CET 2023	1700602191	260.00	210.00	13.00	98.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15267		0.00007
