ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   484     176     660     42240   14     2   2   -       -    N     -       1   15   IMeCOFT8_nf0_cp484_tnp660_ms42240_single_lbn_r1_W15_20231210_070932                                 
SPKft      single     8   0   484     8       492     42240   11     2   2   21120   24   N     -       1   15   SPKFT8_nf0_cp484_tnp492_ms42240_single_lbn_r1_W15_20231210_070932                                   
IMeCOft    single     8   8   484     176     660     42240   14     2   2   -       -    N     -       1   15   IMeCOFT8_nf8_cp484_tnp660_ms42240_single_lbn_r1_W15_20231210_070932                                 
SPKft      single     8   8   484     8       492     42240   11     2   2   21120   24   N     -       1   15   SPKFT8_nf8_cp484_tnp492_ms42240_single_lbn_r1_W15_20231210_070932                                   
IMeCOft    double     8   0   484     176     660     42240   14     2   2   -       -    N     -       1   15   IMeCOFT8_nf0_cp484_tnp660_ms42240_double_lbn_r1_W15_20231210_070932                                 
SPKft      double     8   0   484     8       492     42240   11     2   2   21120   24   N     -       1   15   SPKFT8_nf0_cp484_tnp492_ms42240_double_lbn_r1_W15_20231210_070932                                   
IMeCOft    double     8   8   484     176     660     42240   14     2   2   -       -    N     -       1   15   IMeCOFT8_nf8_cp484_tnp660_ms42240_double_lbn_r1_W15_20231210_070932                                 
SPKft      double     8   8   484     8       492     42240   11     2   2   21120   24   N     -       1   15   SPKFT8_nf8_cp484_tnp492_ms42240_double_lbn_r1_W15_20231210_070933                                   
IMeCOft    single     8   0   484     176     660     42240   14     2   2   -       -    Y     24      1   15   IMeCOFT8_nf0_cp484_tnp660_ms42240_single_lby_r1_W15_20231210_070933                                 
SPKft      single     8   0   484     8       492     42240   11     2   2   21120   24   Y     23      1   15   SPKFT8_nf0_cp484_tnp492_ms42240_single_lby_r1_W15_20231210_070933                                   
IMeCOft    single     8   8   484     176     660     42240   14     2   2   -       -    Y     24      1   15   IMeCOFT8_nf8_cp484_tnp660_ms42240_single_lby_r1_W15_20231210_070933                                 
SPKft      single     8   8   484     8       492     42240   11     2   2   21120   24   Y     23      1   15   SPKFT8_nf8_cp484_tnp492_ms42240_single_lby_r1_W15_20231210_070933                                   
IMeCOft    double     8   0   484     176     660     42240   14     2   2   -       -    Y     24      1   15   IMeCOFT8_nf0_cp484_tnp660_ms42240_double_lby_r1_W15_20231210_070933                                 
SPKft      double     8   0   484     8       492     42240   11     2   2   21120   24   Y     23      1   15   SPKFT8_nf0_cp484_tnp492_ms42240_double_lby_r1_W15_20231210_070933                                   
IMeCOft    double     8   8   484     176     660     42240   14     2   2   -       -    Y     24      1   15   IMeCOFT8_nf8_cp484_tnp660_ms42240_double_lby_r1_W15_20231210_070933                                 
SPKft      double     8   8   484     8       492     42240   11     2   2   21120   24   Y     23      1   15   SPKFT8_nf8_cp484_tnp492_ms42240_double_lby_r1_W15_20231210_070934                                   
IMeCOft    single     4   0   484     88      572     42240   12     2   2   -       -    N     -       1   15   IMeCOFT4_nf0_cp484_tnp572_ms42240_single_lbn_r1_W15_20231210_070934                                 
SPKft      single     4   0   484     4       488     42240   11     2   2   21120   24   N     -       1   15   SPKFT4_nf0_cp484_tnp488_ms42240_single_lbn_r1_W15_20231210_070934                                   
IMeCOft    single     4   4   484     88      572     42240   12     2   2   -       -    N     -       1   15   IMeCOFT4_nf4_cp484_tnp572_ms42240_single_lbn_r1_W15_20231210_070934                                 
SPKft      single     4   4   484     4       488     42240   11     2   2   21120   24   N     -       1   15   SPKFT4_nf4_cp484_tnp488_ms42240_single_lbn_r1_W15_20231210_070934                                   
IMeCOft    double     4   0   484     88      572     42240   12     2   2   -       -    N     -       1   15   IMeCOFT4_nf0_cp484_tnp572_ms42240_double_lbn_r1_W15_20231210_070934                                 
SPKft      double     4   0   484     4       488     42240   11     2   2   21120   24   N     -       1   15   SPKFT4_nf0_cp484_tnp488_ms42240_double_lbn_r1_W15_20231210_070934                                   
IMeCOft    double     4   4   484     88      572     42240   12     2   2   -       -    N     -       1   15   IMeCOFT4_nf4_cp484_tnp572_ms42240_double_lbn_r1_W15_20231210_070934                                 
SPKft      double     4   4   484     4       488     42240   11     2   2   21120   24   N     -       1   15   SPKFT4_nf4_cp484_tnp488_ms42240_double_lbn_r1_W15_20231210_070934                                   
IMeCOft    single     4   0   484     88      572     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT4_nf0_cp484_tnp572_ms42240_single_lby_r1_W15_20231210_070935                                 
SPKft      single     4   0   484     4       488     42240   11     2   2   21120   24   Y     23      1   15   SPKFT4_nf0_cp484_tnp488_ms42240_single_lby_r1_W15_20231210_070935                                   
IMeCOft    single     4   4   484     88      572     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT4_nf4_cp484_tnp572_ms42240_single_lby_r1_W15_20231210_070935                                 
SPKft      single     4   4   484     4       488     42240   11     2   2   21120   24   Y     23      1   15   SPKFT4_nf4_cp484_tnp488_ms42240_single_lby_r1_W15_20231210_070935                                   
IMeCOft    double     4   0   484     88      572     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT4_nf0_cp484_tnp572_ms42240_double_lby_r1_W15_20231210_070935                                 
SPKft      double     4   0   484     4       488     42240   11     2   2   21120   24   Y     23      1   15   SPKFT4_nf0_cp484_tnp488_ms42240_double_lby_r1_W15_20231210_070935                                   
IMeCOft    double     4   4   484     88      572     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT4_nf4_cp484_tnp572_ms42240_double_lby_r1_W15_20231210_070935                                 
SPKft      double     4   4   484     4       488     42240   11     2   2   21120   24   Y     23      1   15   SPKFT4_nf4_cp484_tnp488_ms42240_double_lby_r1_W15_20231210_070935                                   
IMeCOft    single     2   0   484     44      528     42240   11     2   2   -       -    N     -       1   15   IMeCOFT2_nf0_cp484_tnp528_ms42240_single_lbn_r1_W15_20231210_070936                                 
SPKft      single     2   0   484     2       486     42240   11     2   2   21120   24   N     -       1   15   SPKFT2_nf0_cp484_tnp486_ms42240_single_lbn_r1_W15_20231210_070936                                   
IMeCOft    single     2   2   484     44      528     42240   11     2   2   -       -    N     -       1   15   IMeCOFT2_nf2_cp484_tnp528_ms42240_single_lbn_r1_W15_20231210_070936                                 
SPKft      single     2   2   484     2       486     42240   11     2   2   21120   24   N     -       1   15   SPKFT2_nf2_cp484_tnp486_ms42240_single_lbn_r1_W15_20231210_070936                                   
IMeCOft    double     2   0   484     44      528     42240   11     2   2   -       -    N     -       1   15   IMeCOFT2_nf0_cp484_tnp528_ms42240_double_lbn_r1_W15_20231210_070936                                 
SPKft      double     2   0   484     2       486     42240   11     2   2   21120   24   N     -       1   15   SPKFT2_nf0_cp484_tnp486_ms42240_double_lbn_r1_W15_20231210_070936                                   
IMeCOft    double     2   2   484     44      528     42240   11     2   2   -       -    N     -       1   15   IMeCOFT2_nf2_cp484_tnp528_ms42240_double_lbn_r1_W15_20231210_070936                                 
SPKft      double     2   2   484     2       486     42240   11     2   2   21120   24   N     -       1   15   SPKFT2_nf2_cp484_tnp486_ms42240_double_lbn_r1_W15_20231210_070937                                   
IMeCOft    single     2   0   484     44      528     42240   11     2   2   -       -    Y     24      1   15   IMeCOFT2_nf0_cp484_tnp528_ms42240_single_lby_r1_W15_20231210_070937                                 
SPKft      single     2   0   484     2       486     42240   11     2   2   21120   24   Y     23      1   15   SPKFT2_nf0_cp484_tnp486_ms42240_single_lby_r1_W15_20231210_070937                                   
IMeCOft    single     2   2   484     44      528     42240   11     2   2   -       -    Y     24      1   15   IMeCOFT2_nf2_cp484_tnp528_ms42240_single_lby_r1_W15_20231210_070937                                 
SPKft      single     2   2   484     2       486     42240   11     2   2   21120   24   Y     23      1   15   SPKFT2_nf2_cp484_tnp486_ms42240_single_lby_r1_W15_20231210_070937                                   
IMeCOft    double     2   0   484     44      528     42240   11     2   2   -       -    Y     24      1   15   IMeCOFT2_nf0_cp484_tnp528_ms42240_double_lby_r1_W15_20231210_070937                                 
SPKft      double     2   0   484     2       486     42240   11     2   2   21120   24   Y     23      1   15   SPKFT2_nf0_cp484_tnp486_ms42240_double_lby_r1_W15_20231210_070937                                   
IMeCOft    double     2   2   484     44      528     42240   11     2   2   -       -    Y     24      1   15   IMeCOFT2_nf2_cp484_tnp528_ms42240_double_lby_r1_W15_20231210_070937                                 
SPKft      double     2   2   484     2       486     42240   11     2   2   21120   24   Y     23      1   15   SPKFT2_nf2_cp484_tnp486_ms42240_double_lby_r1_W15_20231210_070937                                   
IMeCOft    single     1   0   484     22      506     42240   11     2   2   -       -    N     -       1   15   IMeCOFT1_nf0_cp484_tnp506_ms42240_single_lbn_r1_W15_20231210_070938                                 
SPKft      single     1   0   484     1       485     42240   11     2   2   21120   24   N     -       1   15   SPKFT1_nf0_cp484_tnp485_ms42240_single_lbn_r1_W15_20231210_070938                                   
IMeCOft    single     1   1   484     22      506     42240   11     2   2   -       -    N     -       1   15   IMeCOFT1_nf1_cp484_tnp506_ms42240_single_lbn_r1_W15_20231210_070938                                 
SPKft      single     1   1   484     1       485     42240   11     2   2   21120   24   N     -       1   15   SPKFT1_nf1_cp484_tnp485_ms42240_single_lbn_r1_W15_20231210_070938                                   
IMeCOft    double     1   0   484     22      506     42240   11     2   2   -       -    N     -       1   15   IMeCOFT1_nf0_cp484_tnp506_ms42240_double_lbn_r1_W15_20231210_070938                                 
SPKft      double     1   0   484     1       485     42240   11     2   2   21120   24   N     -       1   15   SPKFT1_nf0_cp484_tnp485_ms42240_double_lbn_r1_W15_20231210_070938                                   
